Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Memphis4Classes;0;+TYPES, nGrams: 2;Weighted Recall;0.831461;0
Boston;Memphis4Classes;0;+TYPES, nGrams: 2;Weighted F-Measure;0.842163;0
Boston;Memphis4Classes;0;+CAT, nGrams: 2;Percent Correct;0.842697;0
Boston;Memphis4Classes;0;+CAT, nGrams: 2;Weighted Precision;0.874274;0
Boston;Memphis4Classes;0;+CAT, nGrams: 2;Weighted Recall;0.842697;0
Boston;Memphis4Classes;0;+CAT, nGrams: 2;Weighted F-Measure;0.854675;0
Boston;Seattle4Classes;0;Baseline, nGrams: 2;Percent Correct;0.711061;0
Boston;Seattle4Classes;0;Baseline, nGrams: 2;Weighted Precision;0.740181;0
Boston;Seattle4Classes;0;Baseline, nGrams: 2;Weighted Recall;0.711061;0
Boston;Seattle4Classes;0;Baseline, nGrams: 2;Weighted F-Measure;0.702569;0
Boston;Seattle4Classes;0;+ALL, nGrams: 2;Percent Correct;0.607223;0
Boston;Seattle4Classes;0;+ALL, nGrams: 2;Weighted Precision;0.671116;0
Boston;Seattle4Classes;0;+ALL, nGrams: 2;Weighted Recall;0.607223;0
Boston;Seattle4Classes;0;+ALL, nGrams: 2;Weighted F-Measure;0.579564;0
Boston;Seattle4Classes;0;+LOC, nGrams: 2;Percent Correct;0.707675;0
Boston;Seattle4Classes;0;+LOC, nGrams: 2;Weighted Precision;0.733025;0
Boston;Seattle4Classes;0;+LOC, nGrams: 2;Weighted Recall;0.707675;0
Boston;Seattle4Classes;0;+LOC, nGrams: 2;Weighted F-Measure;0.687194;0
Boston;Seattle4Classes;0;+TIME, nGrams: 2;Percent Correct;0.599323;0
Boston;Seattle4Classes;0;+TIME, nGrams: 2;Weighted Precision;0.673371;0
Boston;Seattle4Classes;0;+TIME, nGrams: 2;Weighted Recall;0.599323;0
Boston;Seattle4Classes;0;+TIME, nGrams: 2;Weighted F-Measure;0.565237;0
Boston;Seattle4Classes;0;+LOD, nGrams: 2;Percent Correct;0.628668;0
Boston;Seattle4Classes;0;+LOD, nGrams: 2;Weighted Precision;0.695328;0
Boston;Seattle4Classes;0;+LOD, nGrams: 2;Weighted Recall;0.628668;0
Boston;Seattle4Classes;0;+LOD, nGrams: 2;Weighted F-Measure;0.607087;0
Boston;Seattle4Classes;0;+LOC+TIME, nGrams: 2;Percent Correct;0.686230;0
Boston;Seattle4Classes;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.713767;0
Boston;Seattle4Classes;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.686230;0
Boston;Seattle4Classes;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.671825;0
Boston;Seattle4Classes;0;+LOC+LOD, nGrams: 2;Percent Correct;0.597065;0
Boston;Seattle4Classes;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.658054;0
Boston;Seattle4Classes;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.597065;0
Boston;Seattle4Classes;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.560562;0
Boston;Seattle4Classes;0;+TIME+LOD, nGrams: 2;Percent Correct;0.670429;0
Boston;Seattle4Classes;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.710363;0
Boston;Seattle4Classes;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.670429;0
Boston;Seattle4Classes;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.661773;0
Boston;Seattle4Classes;0;+TYPES, nGrams: 2;Percent Correct;0.644470;0
Boston;Seattle4Classes;0;+TYPES, nGrams: 2;Weighted Precision;0.697996;0
Boston;Seattle4Classes;0;+TYPES, nGrams: 2;Weighted Recall;0.644470;0
Boston;Seattle4Classes;0;+TYPES, nGrams: 2;Weighted F-Measure;0.627271;0
Boston;Seattle4Classes;0;+CAT, nGrams: 2;Percent Correct;0.655756;0
Boston;Seattle4Classes;0;+CAT, nGrams: 2;Weighted Precision;0.703317;0
Boston;Seattle4Classes;0;+CAT, nGrams: 2;Weighted Recall;0.655756;0
Boston;Seattle4Classes;0;+CAT, nGrams: 2;Weighted F-Measure;0.641723;0
Boston;NYC4Classes;0;Baseline, nGrams: 2;Percent Correct;0.847230;0
Boston;NYC4Classes;0;Baseline, nGrams: 2;Weighted Precision;0.846810;0
Boston;NYC4Classes;0;Baseline, nGrams: 2;Weighted Recall;0.847230;0
Boston;NYC4Classes;0;Baseline, nGrams: 2;Weighted F-Measure;0.838423;0
Boston;NYC4Classes;0;+ALL, nGrams: 2;Percent Correct;0.852071;0
Boston;NYC4Classes;0;+ALL, nGrams: 2;Weighted Precision;0.847050;0
Boston;NYC4Classes;0;+ALL, nGrams: 2;Weighted Recall;0.852071;0
Boston;NYC4Classes;0;+ALL, nGrams: 2;Weighted F-Measure;0.841704;0
Boston;NYC4Classes;0;+LOC, nGrams: 2;Percent Correct;0.850457;0
Boston;NYC4Classes;0;+LOC, nGrams: 2;Weighted Precision;0.843798;0
