Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;SanFrancisco;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.861912;0
Boston;SanFrancisco;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.869189;0
Boston;SanFrancisco;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.857791;0
Boston;NYC;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.850565;0
Boston;NYC;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.845956;0
Boston;NYC;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.850565;0
Boston;NYC;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.832811;0
Boston;Dublin;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.939964;0
Boston;Dublin;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.931623;0
Boston;Dublin;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.939964;0
Boston;Dublin;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.932567;0
Boston;Chicago;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.917925;0
Boston;Chicago;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.916124;0
Boston;Chicago;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.917925;0
Boston;Chicago;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.912020;0
Boston;Memphis;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.809982;0
Boston;Memphis;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.812574;0
Boston;Memphis;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.809982;0
Boston;Memphis;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.799704;0
Boston;London;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.876101;0
Boston;London;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.878231;0
Boston;London;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.876101;0
Boston;London;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.854101;0
Boston;Sydney;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.853394;0
Boston;Sydney;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.868317;0
Boston;Sydney;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.853394;0
Boston;Sydney;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.837963;0
Boston;Brisbane;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.850560;0
Boston;Brisbane;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.855785;0
Boston;Brisbane;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.850560;0
Boston;Brisbane;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.837750;0
Boston;Seattle;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.742831;0
Boston;Seattle;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.742228;0
Boston;Seattle;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.742831;0
Boston;Seattle;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.727201;0
Boston;SanFrancisco;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.862027;0
Boston;SanFrancisco;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.856346;0
Boston;SanFrancisco;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.862027;0
Boston;SanFrancisco;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.855719;0
Boston;NYC;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.857988;0
Boston;NYC;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.853124;0
Boston;NYC;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.857988;0
Boston;NYC;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.845426;0
Boston;Dublin;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.938046;0
Boston;Dublin;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.933682;0
Boston;Dublin;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.938046;0
